sku,brand,name,short_description,description,rrp,price
WV-1A,LUUS,LUUS WV-1A,"1 Air-Blast Burner Fo San Wok with fan, electronic ignition","Fo San Wok

• 145 mj Air-Blast Burner with 3 mj pilot & FFD standard
• Electronic auto-ignition switch and burner reset function
• Fan-forced stainless steel burner easy-to-clean design
• External pilot position most effective at avoiding blockages
• Fire-brick lined combustion chamber and ceramic base
• Rear flue system provides effective & efficient combustion
• Quarter turn water control lever
• Folding rear laundry arm with front panel controls
• Front gutter design for easier cleaning
• Internal front heat shield panel
• Supplied with waste strainer
• Zinc-aluminium Alloy burner handles
• Ergonomically designed burner handle can be repositioned
at 45˚ orientations to match personal preference

• Heavy duty construction
• Robust, full skirt, 355mm cast-iron ring
• 1.5mm 304 stainless steel top deck
• Splashback 1.2 mm 304 stainless steel
• Front cover and hob 1.2mm 304 stainless steel
• Side panels 0.9mm 304 stainless steel
• Stainless steel removable legs
• 55mm height adjustment range
• 1.5mm 304 stainless steel base panel
• One-piece hob and deck

• 750mm x 900mm x 1300mm H
• Working height 800mm
• Weight 155kg
• Packed dimensions 800mm x 950mm x 1470mm H
• Packed weight 180kg

• 3/4"" BSP Male
• Gas 300mm from left, 100mm from rear, 215mm to floor
• Gas regulator built-in to gas train
• Water inlet 1/2” tube with check valve
• Water 220mm from left 60mm to rear, 205mm to floor
• Drain 2” BSP male
• Drain 120mm from left 80mm from rear, 495mm to floor
• Electrical input rated at 220-240V, 10A, 50Hz & 150W
• Electrical input located 175mm from left, 205mm from floor
• Length of cable from rear is 600mm

• Front gutter design and waste strainer for easier cleaning
• Top surface and skirting is easy to clean from above
• Burner removable and accessible from above
• Burner injector, electrode and flame probe accessible
• Control box accessible via lower front cover
• Drain and tap accessible by removing upper front cover
• Gas train, air-line, fan and burner accessible by removing
front covers

• Lowered splashback to 1100mm overall height
• 250mm wide clip on shelves (front)
• Joining caps & strips
• RH and LH side shields
• Rear castors","13,230.00","9,922.50"
WV-1A1P,LUUS,LUUS WV-1A-1P,"1 Air-Blast Burner & 1 RHS Pot Fo San Wok with fan, electronic ignition","Fo San Wok

• 145 mj Air-Blast Burner with 3 mj pilot & FFD standard
• Electronic auto-ignition switch and burner reset function
• Fan-forced stainless steel burner easy-to-clean design
• External pilot position most effective at avoiding blockages
• Fire-brick lined combustion chamber and ceramic base
• Rear flue system provides effective & efficient combustion
• Quarter turn water control lever
• Folding rear laundry arm with front panel controls
• Front gutter design for easier cleaning
• Internal front heat shield panel
• Supplied with waste strainer
• Zinc-aluminium Alloy burner handles
• Ergonomically designed burner handle can be repositioned
at 45˚ orientations to match personal preference

• Heavy duty construction
• Robust, full skirt, 355mm cast-iron ring
• 1.5mm 304 stainless steel top deck
• Splashback 1.2 mm 304 stainless steell
• Front cover and hob 1.2mm 304 stainless steel
• Side panels 0.9mm 304 stainless steel
• Stainless steel removable legs
• 55mm height adjustment range
• 1.5mm 304 stainless steel base panel
• One-piece hob and deck
Dimensions
• 1200mm x 900mm x 1300mm H
• Working height 800mm
• Weight 200kg
• Packed dimensions 1250mm x 950mm x 1470mm H
• Packed weight 230kg

• 3/4"" BSP Male
• WV-1A1P: Gas 300mm from left, 100mm from rear, 215mm
to floor, Water 670mm from right 60mm to rear, 205mm to
floor, Electrical input located 175mm from left, 205mm to floor
• WV-1P1A: Gas 750mm from left, 100mm from rear, 215mm
to floor, Water 220mm from right 60mm to rear, 205mm to
floor, Electrical input located 625mm from left, 205mm to floor
• Gas regulator built-in to gas train
• Water inlet 1/2” tube with check valve
• Drain 2” BSP male
• Drain 120mm from left 80mm from rear, 495mm to floor
• Electrical input rated at 220-240V, 10A, 50Hz & 150W
• Length of cable from rear is 600mm

• Front gutter design and waste strainer for easier cleaning
• Top surface and skirting is easy to clean from above
• Burner removable and accessible from above
• Burner injector, electrode and flame probe accessible
• Control box accessible via lower front cover
• Drain and tap accessible by removing upper front cover
• Gas train, air-line, fan and burner accessible by removing
front covers

• Lowered splashback to 1100mm overall height
• 250mm wide clip on shelves (front)
• Joining caps & strips
• RH and LH side shields
• Rear castors","14,418.00","10,813.50"
WV-1P1A,LUUS,LUUS WV-1P-1A,"1 Air-Blast Burner & 1 LHS Pot Fo San Wok with fan, electronic ignition","Fo San Wok

• 145 mj Air-Blast Burner with 3 mj pilot & FFD standard
• Electronic auto-ignition switch and burner reset function
• Fan-forced stainless steel burner easy-to-clean design
• External pilot position most effective at avoiding blockages
• Fire-brick lined combustion chamber and ceramic base
• Rear flue system provides effective & efficient combustion
• Quarter turn water control lever
• Folding rear laundry arm with front panel controls
• Front gutter design for easier cleaning
• Internal front heat shield panel
• Supplied with waste strainer
• Zinc-aluminium Alloy burner handles
• Ergonomically designed burner handle can be repositioned
at 45˚ orientations to match personal preference

• Heavy duty construction
• Robust, full skirt, 355mm cast-iron ring
• 1.5mm 304 stainless steel top deck
• Splashback 1.2 mm 304 stainless steell
• Front cover and hob 1.2mm 304 stainless steel
• Side panels 0.9mm 304 stainless steel
• Stainless steel removable legs
• 55mm height adjustment range
• 1.5mm 304 stainless steel base panel
• One-piece hob and deck

• 1200mm x 900mm x 1300mm H
• Working height 800mm
• Weight 200kg
• Packed dimensions 1250mm x 950mm x 1470mm H
• Packed weight 230kg

• 3/4"" BSP Male
• WV-1A1P: Gas 300mm from left, 100mm from rear, 215mm
to floor, Water 670mm from right 60mm to rear, 205mm to
floor, Electrical input located 175mm from left, 205mm to floor
• WV-1P1A: Gas 750mm from left, 100mm from rear, 215mm
to floor, Water 220mm from right 60mm to rear, 205mm to
floor, Electrical input located 625mm from left, 205mm to floor
• Gas regulator built-in to gas train
• Water inlet 1/2” tube with check valve
• Drain 2” BSP male
• Drain 120mm from left 80mm from rear, 495mm to floor
• Electrical input rated at 220-240V, 10A, 50Hz & 150W
• Length of cable from rear is 600mm

• Front gutter design and waste strainer for easier cleaning
• Top surface and skirting is easy to clean from above
• Burner removable and accessible from above
• Burner injector, electrode and flame probe accessible
• Control box accessible via lower front cover
• Drain and tap accessible by removing upper front cover
• Gas train, air-line, fan and burner accessible by removing
front covers

• Lowered splashback to 1100mm overall height
• 250mm wide clip on shelves (front)
• Joining caps & strips
• RH and LH side shields
• Rear castors","14,418.00","10,813.50"
WV-2A,LUUS,LUUS WV-2A,"2 Air-Blast Burners Fo San Wok with fan, electronic ignition","Fo San Wok

• 2 x 145 mj Air-Blast Burner with 3 mj pilot & FFD standard
• Electronic auto-ignition switch and burner reset function
• Fan-forced stainless steel burner easy-to-clean design
• External pilot position most effective at avoiding blockages
• Fire-brick lined combustion chamber and ceramic base
• Rear flue system provides effective & efficient combustion
• Quarter turn water control lever
• Folding rear laundry arm with front panel controls
• Front gutter design for easier cleaning
• Internal front heat shield panel
• Supplied with waste strainer
• Zinc-aluminium Alloy burner handles
• Ergonomically designed burner handle can be repositioned
at 45˚ orientations to match personal preference

• Heavy duty construction
• Robust, full skirt, 355mm cast-iron ring
• 1.5mm 304 stainless steel top deck
• Splashback 1.2 mm 304 stainless steel
• Front cover and hob 1.2mm 304 stainless steel
• Side panels 0.9mm 304 stainless steel
• Stainless steel removable legs
• 55mm height adjustment range
• 1.5mm 304 stainless steel base panel
• One-piece hob and deck

• 1750mm x 900mm x 1300mm H
• Working height 800mm
• Weight 290kg
• Packed dimensions 1800mm x 950mm x 1470mm H
• Packed weight 350kg

• 3/4"" BSP Male
• Gas#1 300mm from left,100mm from rear, 215mm to floor
• Gas#2 1300mm from left, 100mm from rear, 215mm to floor
• Gas regulator built-in to gas train
• Water inlet 1/2” tube with check valve
• Water #1 200mm from right 60mm to rear, 205mm to floor
• Water #2 1200mm from right 60mm to rear, 205mm to floor
• Drain 2” BSP male
• Drain 120mm from left 80mm from rear, 500mm to floor
• Electrical input rated at 220-240V, 10A, 50Hz & 150W
• Electrical input #1 175mm from left, 205mm from floor
• Electrical input #2 1200mm from left, 205mm from floor
• Length of cable from rear is 600mm

• Front gutter design and waste strainer for easier cleaning
• Top surface and skirting is easy to clean from above
• Burner removable and accessible from above
• Burner injector, electrode and flame probe accessible
• Control box accessible via lower front cover
• Drain and tap accessible by removing upper front cover
• Gas train, air-line, fan and burner accessible by removing
front covers

• Lowered splashback to 1100mm overall height
• 250mm wide clip on shelves (front)
• Joining caps & strips
• RH and LH side shields
• Rear castors","24,786.00","18,589.50"
WV-1A1P1A,LUUS,LUUS WV-1A1P1A,"2 Air-Blast Burners & 1 Centre-Pot Fo San Wok with fan, electronic ignition","• Water inlet 1/2” tube with check valve
• Water #1 200mm from right 60mm to rear, 205mm to floor
• Water #2 1200mm from right 60mm to rear, 205mm to floor
• Drain 2” BSP male
• Drain 120mm from left 80mm from rear, 495mm to floor
• Electrical input rated at 220-240V, 10A, 50Hz & 150W
• Electrical input #1 175mm from left, 205mm from floor
• Electrical input #2 1200mm from left, 205mm from floor
• Length of cable from rear is 600mm

• Front gutter design and waste strainer for easier cleaning
• Top surface and skirting is easy to clean from above
• Burner removable and accessible from above
• Burner injector, electrode and flame probe accessible
• Control box accessible via lower front cover
• Drain and tap accessible by removing upper front cover
• Gas train, air-line, fan and burner accessible by removing
front covers

• Lowered splashback to 1100mm overall height
• 250mm wide clip on shelves (front)
• Joining caps & strips
• RH and LH side shields
• Rear castors","26,028.00","19,521.00"
WV-1A2P1A,LUUS,LUUS WV-1A2P1A,"2 Air-Blast Burners & 2 Centre-Pots Fo San Wok with fan, electronic ignition","Dimensions : 2200w x 900d x 1300h
Wok Burner : 2 x 145mj Air Blast Burner with 3mj pilot & FFD
Cooling : Natural cooling via insulation, rear flue design and heat shield panel
Safety : Electronic auto-ignition switch and burner reset function
Materials : 355mm cast-iron ring & 1.5mm 304 stainless steel top deck","27,270.00","20,452.50"
WZ-1C,LUUS,LUUS WZ-1C,1 Chimney Burner 330mm Compact Wok with air cooling & 1/4 turn water tap,"Waterless Wok

110 mj 24 jet chimney burners with pilot & FFD
333mm diameter standard size cast-iron wok ring
Air gap cooling system
Quarter turn water control lever
Folding rear laundry arm with front panel controls
Wider front gutter design for easier cleaning
Internal front heat shield panel
Supplied with waste strainer
Zinc-aluminium Alloy burner handles

110 mj 24 jet chimney burners with pilot & FFD
333mm diameter standard size cast-iron wok ring
Air gap cooling system
Quarter turn water control lever
Folding rear laundry arm with front panel controls
Wider front gutter design for easier cleaning
Internal front heat shield panel
Supplied with waste strainer
Zinc-aluminium Alloy burner handles

600mm x 800mm x 1300mm H
Working height 800mm
Weight 85kg
Packed dimensions 650mm x 900mm x 1470mm H
Packed weight 110kg

110 mj 24 jet chimney burners with pilot & FFD
333mm diameter standard size cast-iron wok ring
Air gap cooling system
Quarter turn water control lever
Folding rear laundry arm with front panel controls
Wider front gutter design for easier cleaning
Internal front heat shield panel
Supplied with waste strainer
Zinc-aluminium Alloy burner handles

Easy access to all parts & components from front

Knee lever timer tap
Replace Chimney burners with Duckbill or Dual Ring burners
250mm and 500mm wide clip on shelves (front)
Wok Holder
Clip On Sauce Holder
Injector Cleaning Tool
Joining caps & strips
RH and LH side shields
Rear castors","4,698.00","3,523.50"
WZ-1C2B,LUUS,LUUS WZ-1C2B,1 Chimney Burner 2 Open Burner 330mm Compact Wok with air cooling & 1/4 turn water tap,"Waterless Wok

110 mj 24 jet chimney burners with pilot & FFD
333mm diameter standard size cast-iron wok ring
28 mj side burners with FFD standard (pilots extra)
Air gap cooling system
Quarter turn water control lever
Folding rear laundry arm with front panel controls
Wider front gutter design for easier cleaning
Internal front heat shield panel
Supplied with waste strainer
Zinc-aluminium Alloy burner handles

Heavy duty construction
Full skirt, enamelled cast-iron rings
1.5mm 304 stainless steel one-piece pressed deck
0.9mm 304 stainless steel condiment shelf
Splashback and front cover 1.2 mm 304 stainless steel
Integrated hob 1.5mm 304 stainless steel
Side panels 1.2mm 304 stainless steel
Undertrays 0.9mm stainless steel
Stainless steel removable legs
30mm height adjustment range

900mm x 800mm x 1300mm H
Working height 800mm
Weight 120kg
Packed dimensions 950mm x 900mm x 1470mm H
Packed weight 150kg

Gas 3/4” BSP female
Gas 294/421 mm from right, 84mm from rear, 425m to floor
Supplied with gas regulator (specify Nat or LP on order)
Water inlet 1/2” copper tube
Water 61mm from right, 81mm to rear, 408mm to floor
Drain 1/1/4” BSP male
Drain 122mm from left, 83mm from rear, 590mm to floor

Easy access to all parts & components from front

Knee lever timer tap
Replace Chimney burners with Duckbill or Dual Ring burners
250mm and 500mm wide clip on shelves (front)
Wok Holder
Clip On Sauce Holder
Injector Cleaning Tool
Joining caps & strips
RH and LH side shields
Rear castors","6,534.00","4,900.50"
WZ-2C,LUUS,LUUS WZ-2C,2 Chimney Burner 330mm Compact Wok with air cooling & 1/4 turn water tap,"Waterless Wok

110 mj 24 jet chimney burners with pilot & FFD
333mm diameter standard size cast-iron wok ring
Air gap cooling system
Quarter turn water control lever
Folding rear laundry arm with front panel controls
Wider front gutter design for easier cleaning
Internal front heat shield panel
Supplied with waste strainer
Zinc-aluminium Alloy burner handles

Heavy duty construction
Full skirt, enamelled cast-iron rings
1.5mm 304 stainless steel one-piece pressed deck
0.9mm 304 stainless steel condiment shelf
Splashback and front cover 1.2 mm 304 stainless steel
Integrated hob 1.5mm 304 stainless steel
Side panels 1.2mm 304 stainless steel
Undertrays 0.9mm stainless steel
Stainless steel removable legs
30mm height adjustment range

1200mm x 800mm x 1300mm H
Working height 800mm
Weight 155kg
Packed dimensions 1250mm x 900mm x 1470mm H
Packed weight 190kg

Gas 3/4” BSP female
Gas 121/721mm from right, 84mm from rear, 425m to floor
Supplied with gas regulator (specify Nat or LP on order)
Water inlet 1/2” copper tube
Water 61mm from right, 81mm to rear, 408mm to floor
Drain 1/1/4” BSP male
Drain 122mm from left, 83mm from rear, 590mm to floor

Easy access to all parts & components from front

Knee lever timer tap
Replace Chimney burners with Duckbill or Dual Ring burners
250mm and 500mm wide clip on shelves (front)
Wok Holder
Clip On Sauce Holder
Injector Cleaning Tool
Joining caps & strips
RH and LH side shields
Rear castors","7,884.00","5,913.00"
WZ-2C2B,LUUS,LUUS WZ-2C2B,2 Chimney Burner 2 Open Burner 330mm Compact Wok with air cooling & 1/4 turn water tap,"Waterless Wok

110 mj 24 jet chimney burners with pilot & FFD
333mm diameter standard size cast-iron wok ring
Air gap cooling system
Quarter turn water control lever
Folding rear laundry arm with front panel controls
Wider front gutter design for easier cleaning
Internal front heat shield panel
Supplied with waste strainer
Zinc-aluminium Alloy burner handles

Heavy duty construction
Full skirt, enamelled cast-iron rings
1.5mm 304 stainless steel one-piece pressed deck
0.9mm 304 stainless steel condiment shelf
Splashback and front cover 1.2 mm 304 stainless steel
Integrated hob 1.5mm 304 stainless steel
Side panels 1.2mm 304 stainless steel
Undertrays 0.9mm stainless steel
Stainless steel removable legs
30mm height adjustment range

1500mm x 800mm x 1300mm H
Working height 800mm
Weight 190kg
Packed dimensions 1550mm x 900mm x 1470mm H
Packed weight 230kg

Gas 3/4” BSP female
Gas 294/421/1021mm from right, 84mm to rear, 425mm to floor
Supplied with gas regulator (specify Nat or LP on order)
Water inlet 1/2” copper tube
Water 61mm from right, 81mm to rear, 408mm to floor
Drain 1/1/4” BSP male
Drain 122mm from left, 83mm from rear, 590mm to floor

Easy access to all parts & components from front

Knee lever timer tap
Replace Chimney burners with Duckbill or Dual Ring burners
250mm and 500mm wide clip on shelves (front)
Wok Holder
Clip On Sauce Holder
Injector Cleaning Tool
Joining caps & strips
RH and LH side shields
Rear castors","9,666.00","7,249.50"
